"股票代號","股票名稱","年度","中文簡稱","英文簡稱","公司名稱","英文名稱","地址","電話","傳真機號碼","註冊地國名","訴訟代理人","訴訟代理人電話","訴訟代理人地址","實收資本額(百萬)","成立日期","上市日期","上櫃日期","興櫃日期","公發日期","存續年度","董事長","總經理","發言人","發言人職稱","上市上櫃","網址","電子信箱","股票過戶機構","股務代理電話","產業代號","產業名稱","英文產業名稱","產業指數代號","產業指數名稱","指數彙編分類代號","指數彙編分類","經營項目","國際證券編碼","統一編號","交易所公告股本(千)","交易所普通股股本(千)","交易所特別股股本(千)","交易所普通股股數(千)","交易所特別股股數(千)","普通股每股面額(元)","每股幣別","公告採用匯率","簽證會計師事務所","前年度內銷比重(%)","前年度外銷比重(%)","員工人數(人)"
"1808","潤隆","2020","潤隆","RUN LONG","潤隆建設股份有限公司","RUN LONG CONSTRUCTION CO. LTD.","台北市中山區樂群二路267號8樓","02-8501-5696","02-8501-5711","","","","","3700","19770110","19941026","","","","26","蔡聰賓","蔡聰賓","邱秉澤","副總經理","1","http://www.runlong.com.tw","service@runlong.com.tw","群益金鼎證券(股)公司股務代理部","02-2702-3999","14","建材營建","Building Material and Construction","TWB25","營建類","C25010","傳產-營建","委託營造廠商興建商業大樓及國民住宅出租、出售業務","TW0001808004","34149369","3699966.37","3699966.37","","369996.637","","10","NTD","","安侯建業聯合會計師事務所","100","0","310"
"1809","中釉","2020","中釉","China Glaze","中國製釉股份有限公司","China Glaze Co.Ltd.","新竹縣竹東鎮中興路四段一三六號","(03)582-4128","(03)582-0543","","","","","1670","19741206","19960430","","","19931103","24","蔡憲龍","蔡憲龍","張惠純","財務主管","1","http://www.china-glaze.com.tw","amandachang@mail.china-glaze.com.tw","福邦證券股份有限公司","(02)23711658","8","玻璃陶瓷","Glass and Ceramic","TWB18","玻璃陶瓷","C18010","傳產-玻璃陶瓷","色釉料72.64%、玉晶石2.68%(色釉料、精密陶瓷，結晶化玻璃製品、陶瓷及陶瓷製品，其他化學材料)","TW0001809002","47056834","1670419.37","1670419.37","","167041.937","","10","NTD","","勤業眾信聯合會計師事務所","17.66","82.34","585"
"1810","和成","2020","和成","HCG","和成欣業股份有限公司","HOCHENG CORPORATION","台北市內湖區行善路398號1樓","(02)27925511","(02)27953101","","","","","3699","19611209","19911014","","","","29","邱立堅","陳世傑","羅月英","經理","1","http://www.hcg.com.tw","kkct@hcgnet.com.tw","群益金鼎證券股份有限公司","02-27023999","8","玻璃陶瓷","Glass and Ceramic","TWB18","玻璃陶瓷","C18010","傳產-玻璃陶瓷","住宅設備之製造及銷售","TW0001810000","03228304","3698536.1","3698536.1","","369853.61","","10","NTD","","安侯建業會計師事務所","63","37","1136"
"1813","寶利徠","2020","寶利徠","Polylite","寶利徠光學科技股份有限公司","Polylite Taiwan Co. Ltd.","33759桃園市大園區南港里11鄰長發路406號","03-3853934","03-3863837","","","","","466","19930922","","20090804","20071116","19970714","11","宋一新","李瑞賢","李瑞賢","總經理","2","http://www.gialens.com.tw","info@gialens.com.tw","群益金鼎證券股份有限公司","02-27023999","22","生技醫療","Biotechnology and Medical Care","TWC27","OTC生技醫療","C17020","傳產-生技","鏡片、鏡框、清洗器具製造加工進出口買賣、磁碟光碟片、光學儀器研究開發製造加工進出口買賣、隱形眼鏡、清潔液、醫療器材進出口買賣","TW0001813004","84449952","466355.1","466355.1","","46635.51","","10","NTD","","勤業眾信聯合會計師事務所","0.44","99.56","172"
"1815","富喬","2020","富喬","FFG","富喬工業股份有限公司","FULLTECH FIBER GLASS CORP.","雲林縣斗六市榴南里斗工十六路8號","02-27357658","02-27357698","","","","","4179","19990114","","20060123","20040830","20030121","14","張元賓","陳壁程","謝銘男","副總經理","2","http://www.ffg.com.tw","jeffrey@ffg.com.tw","富喬工業股份有限公司股務室","02-2705-1333","28","電子–電子零組件","Electronic Parts/Components","TWC33","OTC電子零組件","C23130","電子上游-PCB-材料設備","電子級玻璃纖維、電子級玻璃纖維、電子級玻璃纖維","TW0001815009","16834268","4178964.98","4178964.98","","417896.498","","10","NTD","","勤業眾信聯合會計師事務所","20.32","79.68","1197"
"1817","凱撒衛","2020","凱撒衛","SANITAR","凱撒衛浴股份有限公司","SANITAR CO.  LTD.","新北市三重區興德路111-8號7樓","02-8512-3712","02-8512-3717","","","","","726","19880126","20131024","","20110822","20110628","7","蕭俊祥","陳威志","陳玉娟","財務長","1","http://www.caesar.com.tw/","tw_spokesman@caesar.com.tw","福邦證券股份有限公司股務代理部","(02)2371-1658","8","玻璃陶瓷","Glass and Ceramic","TWB18","玻璃陶瓷","C18010","傳產-玻璃陶瓷","各種衛浴設備、周邊製品之銷售","TW0001817005","22746550","726000","726000","","72600","","10","NTD","","勤業眾信聯合會計師事務所","99.1","0.9","1408"
"1903","士紙","2020","士紙","Shihlin Paper","士林紙業股份有限公司","Shihlin Paper Corporation","台北市士林區福德路31號","(02)28811111","(02)28827099","","","","","2600","19590908","19631209","","","","57","臺實貿易股份有限公司","蔡丞哲","蔡丞哲","總經理","1","http://www.shihlin.com.tw","hwc@shihlin.com.tw","凱基證券股份有限公司股務代理部","(02)23892999","9","造紙工業","Paper and Pulp","TWB19","造紙類","C19010","傳產-紙業","紙類之生產及運銷、紙類加工品之製造、紙業重要原料之產銷","TW0001903003","11038101","2600391.21","2600391.21","","260039.121","","10","NTD","","惠眾聯合會計師事務所","98.02","1.98","70"
"1904","正隆","2020","正隆","Cheng Loong","正隆股份有限公司","Cheng Loong Corporation","板橋區民生路一段一號","02-22225131","02-22226110","","","","","11083","19590204","19710910","","","","49","鄭舒云","蔡東和","何台桹","協理","1","http://www.clc.com.tw","stocks@mail.clc.com.tw","本公司財務部股務課","02-22225131","9","造紙工業","Paper and Pulp","TWB19","造紙類","C19010","傳產-紙業","紙業98.71%、0%、0%、0%、0%(紙類之製銷及買賣、紙器及紙類加工品之製銷、委託營造商興建國民住宅及商業大樓出售，出租)","TW0001904001","33085508","11082745.22","11082745.22","","1108274.522","","10","NTD","","安侯建業聯合會計師事務所","75.76","24.24","6765"
"1905","華紙","2020","華紙","CHP","中華紙漿股份有限公司","CHUNG HWA PULP CORP.","臺北市重慶南路二段51號","(02)2396-2998","(02)23953755","","","","","11028","19680705","19750207","","","","45","黃鯤雄","黃志成","陳瑞和","副總經理","1","http://www.chp.com.tw","public.chp@yfy.com","永豐金證券(股)公司股務代理部","(02)23816288","9","造紙工業","Paper and Pulp","TWB19","造紙類","C19010","傳產-紙業","闊(針)葉樹漂白漿，道林紙，微塗紙，化工藥品，肥料","TW0001905008","94025264","11028353.16","11028353.16","","1102835.316","","10","NTD","","勤業眾信聯合會計師事務所","50.89","49.11","2647"
"1906","寶隆","2020","寶隆","Baolong Intl.","寶隆國際股份有限公司","Baolong International Co. Ltd.","雲林縣斗六市十三北路25號","02-5581-1777","02-5581-1778","","","","","1510","19650520","19760426","","","","44","李復元","李復元","張玉城","資深經理","1","http://www.baolongintl.com","office@baolongintl.com","元大證券股份有限公司","02-2586-5859","9","造紙工業","Paper and Pulp","TWB19","造紙類","C19010","傳產-紙業","紙類之批發零售及國內外採購運銷業務","TW0001906006","12030606","1510000","1510000","","151000","","10","NTD","","立本台灣聯合會計師事務所","53.1","46.9","14"
"1907","永豐餘","2020","永豐餘","YFY","永豐餘投資控股股份有限公司","YFY Inc.","台北市重慶南路二段51號","02-23968020","02-23215940","","","","","16604","19500220","19770222","","","","43","何奕達","蔡維力","殷國堂","副總經理","1","http://www.yfy.com","IR@yfy.com","永豐金證券(股)公司股務代理部","(02)2381-6288","9","造紙工業","Paper and Pulp","TWB19","造紙類","C19010","傳產-紙業","一般投資業","TW0001907004","85066002","16603714.95","16603714.95","","1660371.495","","10","NTD","","勤業眾信會計師事務所","38.34","61.66","11531"
"1909","榮成","2020","榮成","Longchen P&P","榮成紙業股份有限公司","Longchen Paper & Packaging Co. Ltd.","彰化縣二林鎮廣興里廣興巷1-1號","02-5581-1777","02-5581-1778","","","","","12177","19780318","19851119","","","","35","鄭瑛彬","鄭瑛彬","鄒永芳","副總經理","1","http://www.longchenpaper.com","j0041@longchenpaper.com","元大證券股份有限公司","02-2586-5859","9","造紙工業","Paper and Pulp","TWB19","造紙類","C19010","傳產-紙業","紙器及紙類之製造、印刷、加工、買賣、代理及進出口業務、造紙原料之製造、加工、買賣、代理及進出口業務、紙器及紙類加工設備之買賣、","TW0001909000","34202841","12176857.27","12176857.27","","1217685.727","","10","NTD","","立本台灣聯合會計師事務所","99.39","0.61","4037"
"2002","中鋼","2020","中鋼","CSC","中國鋼鐵股份有限公司","China Steel Corporation","高市小港區中鋼路1號","07-8021111","07-8022511","","","","","157731","19711203","19741226","","","","46","翁朝棟","王錫欽","黃建智","執行副總經理","1","http://www.csc.com.tw","f1000@mail.csc.com.tw","凱基證券股份有限公司","02-23892999","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","鋼鐵產品78.64%、非鐵工業材料9.01%、物流貿易收入4.57%、服務及其他收入4.12%、營建工程收入3.66%(鋼品設計製造買賣儲運及其他相關業務(含輕金屬，尖端材料)、鋼廠之籌建、鋼鐵及相關工業之工程顧問管理資詢)","TW0002002003","30414175","157731289.96","157348609.97","382679.99","15734860.997","38267.999","10","NTD","","勤業眾信聯合會計師事務所","69.28","30.72","28623"
"2006","東和鋼鐵","2020","東和鋼鐵","Tung Ho Steel","東和鋼鐵企業股份有限公司","Tung Ho Steel Enterprise Corp.","台北市長安東路一段九號六樓","(02)2551-1100","(02)2568-1663","","","","","10041","19620530","19880713","","","","32","侯傑騰","侯傑騰","郭淑媚","財會部經理","1","http://www.tunghosteel.com","f00lin@tunghosteel.com","元大證券(股)公司股務代理部","(02)2586-5859","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","鋼筋、扁鐵、角鐵、盤元、其他鋼鐵製品之製造加工銷售、型鋼及合金鋼、工具鋼、高碳鋼、其他特殊鋼之製造加工銷售、輪船解體、舊船買賣等","TW0002006004","75280209","10040606.08","10040606.08","","1004060.608","","10","NTD","","安侯建業聯合會計師事務所","84.71","15.29","2620"
"2007","燁興","2020","燁興","YH","燁興企業股份有限公司","YIEH HSING ENTERPRISE CO.LTD.","高雄市岡山區白米里寶米路369號","(07)6111111","(07)-6256758","","","","","5307","19780718","19881004","","","","32","吳林茂","陳森龍","陳森龍","總經理","1","http://www.yheco.com.tw","yh001@yheco.com.tw","燁興公司台北股務課","(02)2395-6780","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","線材","TW0002007002","75992214","5306516.13","5306516.13","","530651.613","","10","NTD","","國富浩華聯合會計師事務所","76.13","23.87","613"
"2008","高興昌","2020","高興昌","KHC","高興昌鋼鐵股份有限公司","KAO HSING CHANG IRON & STEEL CORPORATION","高雄市中華一路318號","07-5556111","07-5543798","","","","","2009","19660115","19881228","","","","31","呂泰榮","勝呂榮峰","徐邦峰","鋼管部經理","1","http://www.khc.com.tw","acct12@mail.khc.com.tw","高興昌鋼鐵股份有限公司","02-25536052","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","鋼管、鍍鋅鋼管、鋼管樁、冷軋鋼捲(板)、熱軋鋼捲(板)、塗面鋼捲(板)","TW0002008000","75466009","2008522.93","2008522.93","","200852.293","","10","NTD","","安侯建業聯合會計師事務所","76.68","23.32","213"
"2009","第一銅","2020","第一銅","FCC","第一伸銅科技股份有限公司","FIRST COPPER TECHNOLOGY CO. LTD.","高雄巿前金區中正四路170號4樓","07-2814161","07-2818871","","","","","3596","19690728","19891020","","","19840914","31","王宏銘","洪茂陽","洪茂陽","總經理","1","http://www.fcht.com.tw","he520@hegroup.com.tw","本公司股務課","02-27717611","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","各種銅製品與銅片之製銷與加工，廢銅鐵之買賣及舊廢船之解體、印刷電路基板用銅箔，積體電路及各種電路用引線架之製造買賣貿易、以銅為基材之電子材料及原料製造買賣及外銷貿易","TW0002009008","82001528","3596221.65","3596221.65","","359622.165","","10","NTD","","安侯建業聯合會計師事務所","53.81","46.19","271"
"2010","春源","2020","春源","CHUN YUAN STEEL","春源鋼鐵工業股份有限公司","CHUN YUAN STEEL INDUSTRY CO.LTD.","台北市復興北路502號7樓","(02)2501-8111","(02)2505-5390","","","","","6477","19660107","19891222","","","","31","蔡錫奇","蔡錫奇","洪士民","副總經理","1","http://www.cysco.com.tw/","ak500@cysco.com.tw","春源鋼鐵工業股份有限公司財務部","(02)2501-8111","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","鋼板貨櫃部材特殊鋼矽鋼特帶鋼結構、車身衝壓倉儲設備","TW0002010006","11529802","6476553.9","6476553.9","","647655.39","","10","NTD","","國富浩華聯合會計師事務所","95.57","4.43","1158"
"2012","春雨","2020","春雨","CHUN YU","春雨工廠股份有限公司","CHUN YU WORKS & CO.LTD.","高雄市岡山區大寶街100號(總部地址:高雄市岡山區新樂街169號)","07-6214121","07-6223256","","","","","2878","19650327","19911017","","","","29","林輝政","蔡東森","周伯威","副總經理","1","http://www.chunyu.com.tw","pwclion@chunyu.com.tw","元大證券股份有限公司","(02)2586-5859","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","螺絲，螺帽，攻牙螺絲，磨光線材及球狀化線材製造買賣、一般事業，有害事業廢棄物清除，處理業務、工業機械，電訊設備，汽機車及醫療器材零件製造買賣，國貿業務、","TW0002012002","88187108","2877740","2877740","","287774","","10","NTD","","資誠聯合會計師事務所","72.93","27.07","519"
"2013","中鋼構","2020","中鋼構","CSSC","中國鋼鐵結構股份有限公司","China Steel Structure Co.Ltd.","高雄市燕巢區中興路500號","07-6168688","07-6168680","","","","","2000","19780224","19920121","","","19841017","28","陳火坤","陳瑞騰","王永志","財務處代理處長","1","http://www.cssc.com.tw","20909@cssc.com.tw","中國信託商業銀行代理部","02-66365566","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","各類型鋼鋼構架機械體及水工機械之設計製造安裝及技術服務、金屬製品及加工用化學品之生產進出口及買賣業務、各類環保工程(包含焚化爐、污染防治設備)之設計製造安裝、","TW0002013000","85800192","2000000","2000000","","200000","","10","NTD","","勤業眾信聯合會計師事務所","90.38","9.62","711"
"2014","中鴻","2020","中鴻","CHUNG HUNG","中鴻鋼鐵股份有限公司","CHUNG HUNG STEEL CORPORATION","825高雄市橋頭區芋寮路317號","07-6117171","07-6110227","","","","","14355","19830929","19920220","","","","28","劉敏雄","吳冠青","羅嘉文","行政副總經理","1","http://www.chsteel.com.tw","chs@chsteel.com.tw","凱基證券股份有限公司","02-23892999","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","熱軋鋼捲72.96%、冷軋鋼捲14.12%、鍍鋅鋼捲9.07%、鋼管2.49%、鋅錠%(鋼捲、鋼管)","TW0002014008","07838854","14355444.46","14355444.46","","1435544.446","","10","NTD","","勤業眾信聯合會計師事務所","46.74","53.26","1219"
"2015","豐興","2020","豐興","FH","豐興鋼鐵股份有限公司","FENG HSIN STEEL CO.LTD","台中市后里區甲后路一段998號","(04)25565101","(04)25581334","","","","","5816","19690107","19920525","","","","28","林明儒","林大鈞","成德懿","行政部協理","1","http://www.fenghsin.com.tw","fha20@ms22.hinet.net","中國信託商業銀行代理部","(02)6636-5566","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","鋼筋51.34%、條線26.14%、型鋼22.5%(製鋼及軋鋼製造修理並加工買賣、各種角鋼扁鋼槽鋼鋼板工字鋼等製造及加工買賣、各種鋼筋圓鋼等特殊鋼製造及加工買賣)","TW0002015005","55389357","5815994.24","5815994.24","","581599.424","","10","NTD","","安永聯合會計師事務所","88.94","11.06","866"
"2017","官田鋼","2020","官田鋼","Quintain Steel","官田鋼鐵股份有限公司","Quintain Steel Co. LTD","台南市南區新建路47號4樓","06-2643888","06-2641789","","","","","3419","19730728","19921102","","","","28","汪振澤","謝政成","陳重憲","副董事長","1","http://www.quintain.com.tw","audit@quintain.com.tw","統一綜合證券股份有限公司","02-27463797","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","鋼鐵產品76.23%、餐旅收入23.77%(盤元線材生產及買賣、球化線材生產及買賣、鍍鋅鐵線生產及買賣)","TW0002017001","72065240","3418674.62","3418674.62","","341867.462","","10","NTD","","勤業眾信會計師事務所","93.89","6.11","843"
"2020","美亞","2020","美亞","MAYER PIPE","美亞鋼管廠股份有限公司","MAYER STEEL PIPE CORPORATION","台北市中山區民權東路3段二之1號12樓","(02)2509-1199","(02)2517-1100","","","","","2225","19590929","19930427","","","19900802","27","黃春發","蕭敏志","吳倫吉","副總經理","1","http://www.mayer.com.tw","myfinance@sparqnet.net","國票綜合證券股份有限公司","(02)2593-6666","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","鋼管(板)製造及銷售","TW0002020005","44680700","2225261","2225261","","222526.1","","10","NTD","","國富浩華聯合會計師事務所","91.08","8.92","376"
"2022","聚亨","2020","聚亨","TYCOONS","聚亨企業股份有限公司","TYCOONS GROUP ENTERPRISE CO.LTD.","高雄市岡山區新樂街79-1號","07-6212191","07-6230159","","","","","4798","19801120","19950327","","","","25","呂艷娟","李俊雄","李俊雄","總經理","1","http://www.tycons.com.tw","tycoons@mail.tycons.com.tw","福邦證券股份有限公司","02-23711658","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","螺絲、球化線材、機械零件","TW0002022001","79841479","4797519.76","4797519.76","","479751.976","","10","NTD","","正風聯合會計師事務所","77.99","22.01","1011"
"2023","燁輝","2020","燁輝","YP","燁輝企業股份有限公司","YIEH PHUI ENTERPRISE CO.LTD.","高雄市橋頭區芋寮路369號","(07)611-7181","(07)612-3720","","","","","18906","19780414","19950728","","","","25","林義守","吳林茂","陳永賢","執行副總經理","1","http://www.yiehphui.com.tw","stock@yiehphui.com.tw","燁輝企業股份有限公司台北股務課","(02)2395-6780","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","酸洗鋼捲、軋延鋼捲、鍍鋅鋼捲、烤漆鋼捲、鋼構工程、起重機","TW0002023009","75947936","18905695.18","18905695.18","","1890569.518","","10","NTD","","國富浩華聯合會計師事務所","30.59","69.41","4271"
"2024","志聯","2020","志聯","CHIH LIEN","志聯工業股份有限公司","CHIH LIEN INDUSTRIAL CO.LTD","桃園市新屋區中興路480號","(03)4772797","(03)4770875","","","","","975","19730903","19951230","","","","24","潘仲良","謝陳旺","邱明垣","協理","1","http://www.chihlien.com.tw","anny@mail.chihlien.com.tw","群益金鼎證券股份有限公司","(02)27023999","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","鋼線、鋼棒、製造加工及買賣","TW0002024007","43633504","975000","975000","","97500","","10","NTD","","安侯建業聯合會計師事務所","67.66","32.34","179"
"2025","千興","2020","千興","CSSSC","千興不銹鋼(股)公司","CHIEN SHING STAINLESS STEEL CO.LTD","台南市麻豆區小埤里工業路222號","(06)5703271","(06)5700296","","","","","2812","19720508","19960208","","","","24","葉碩堂","葉碩堂","葉碩堂","董事長","1","http://www.csssc.com.tw","youwin0968772027@gmail.com","宏遠證券(股)公司","(02)77198899","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","不銹鋼捲","TW0002025004","70005915","2811672.62","2811672.62","","281167.262","","10","NTD","","致遠聯合會計師事務所","100","0","100"
"2027","大成鋼","2020","大成鋼","TC","大成不銹鋼工業股份有限公司","TA CHEN STAINLESS PIPE CO. LTD.","台南市仁德區新田二街125號","06-2701756","06-2706354","","","","","16585","19861127","19961024","","","","24","謝麗雲","謝榮坤","林炳文","經理","1","http://www.tachen.com.tw","iris@tachen.com.tw","統一綜合證券股份有限公司","02-27463797","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","生產銷售不銹鋼及鋁產品、生產銷售螺絲螺帽產品、","TW0002027000","22318348","16584658.53","16584658.53","","1658465.853","","10","NTD","","勤業眾信聯合會計師事務所","0.39","99.61","4412"
"2028","威致","2020","威致","WEI CHIH","威致鋼鐵工業股份有限公司","WEI CHIH STEEL INDUSTRIAL CO.LTD.","台南市官田區南部里南部123號","06-5790213","886-6-5790441","","","","","3257","19821027","19961213","","","","24","郭瑞西","郭素惠","郭素惠","總經理","1","http://www.weichih.com.tw","ws002@ms29.hinet.net","福邦證券股份有限公司","(02)2371-1658","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","鋼筋鋼胚棒鋼盤元廢鋼等鋼製品之製造加工買賣業務、大鋼胚小鋼胚鋼錠等特殊鋼之製造加工買賣業務、廢鐵進口輪船解體急舊船買賣業務","TW0002028008","69771636","3257148","3257148","","325714.8","","10","NTD","","國富浩華聯合會計師事務所","90.64","9.36","340"
"2029","盛餘","2020","盛餘","SYSCO","盛餘股份有限公司","SHENG YU STEEL CO. LTD.","高雄市小港區中林路11號","(07)871-9000","(07)871-8014","","","","","3212","19730519","19970111","","","","23","北村宗一","許清俊","許清俊","總經理","1","http://www.shengyusteel.com","fa@shengyusteel.com","台新國際商業銀行股務代理部","(02)2504-8125","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","冷軋、鍍鋅及烤漆鋼捲之製造、加工及銷售、","TW0002029006","79837539","3211800","3211800","","321180","","10","NTD","","勤業眾信聯合會計師事務所","78.26","21.74","554"
"2030","彰源","2020","彰源","FROCH","彰源企業股份有限公司","FROCH ENTERPRISE CO. LTD.","雲林縣斗六市工業區工業路122號","886-5-5571668","886-5-5571665","","","","","2805","19841005","19981224","","","","21","張炳耀","張炳耀","施義正","財務協理","1","http://www.froch.com","Investors@froch.com","凱基證券股份有限公司","02-23148800","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","鋼鐵治鍊業鋼鐵軋延及擠型業鋼鐵鑄造業鋼材二次加工業、其他金屬製品製造業熱處理業表面處理業再生能源自用發電設備、五金批發業國際貿易業產品設計業除許可業務外，得經營法令非","TW0002030004","60330130","2805260.27","2805260.27","","280526.027","","10","NTD","","勤業眾信聯合會計師事務所","30.42","69.58","973"
"2031","新光鋼","2020","新光鋼","Hkssteel","新光鋼鐵股份有限公司","Hsin Kuang Steel co. LTD.","新北市三重區重新路4段97號25樓","02-2978-8888","02-2978-3168","","","","","3072","19670101","20000911","","","19940830","20","粟明德","粟明德","許昭郎","副總經理","1","http://www.hkssteel.com.tw","hkssteel@ms4.hinet.net","統一綜合證券股份有限公司","02-2746-3797","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","各種鋼鐵整平裁剪加工買賣、各種鋼構構件製作加工買賣、各種鋼鐵代理報價買賣","TW0002031002","35836625","3071876.99","3071876.99","","307187.699","","10","NTD","","勤業眾信聯合會計師事務所","99.16","0.84","314"
"2032","新鋼","2020","新鋼","Sinkang","新鋼工業股份有限公司","Sinkang Industries Co.Ltd.","新北市新莊區大安路8號","02-22020152","02-22059856","","","","","1305","19710710","20000911","","","","20","富巨春股份有限公司代表人鄭毅宏","鄭毅宏","王泉吉","總經理室協理","1","http://www.sinkang.com.tw","sinkang@sinkang.com.tw","永豐金證券股份有限公司股代部","02-23816288","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","不銹鋼板、捲裁切、不銹鋼板表面處理","TW0002032000","34008635","1305215.45","1305215.45","","130521.545","","10","NTD","","國富浩華聯合會計師事務所","99.09","0.91","175"
"2033","佳大","2020","佳大","CHIA TA","佳大世界股份有限公司","CHIA TA WORLD CO.LTD","台南市永康區鹽行里中正北路三一七巷十六號","(06)253-3117","(06)253-7301","","","","","807","19730423","20000911","","","","20","吳大和","陳正平","王秋月","會計主管","1","http://www.ctworld.com.tw/","r2533117@ms14.hinet.net","元大證券公司股務代理部","(02)25863117","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","預力鋼絞線、一般鋼線、預力鋼線","TW0002033008","72072615","806945.36","806945.36","","80694.536","","10","NTD","","南台聯合會計師事務所","69.87","30.13","142"
"2034","允強","2020","允強","YC","允強實業股份有限公司","YC INOX CO.LTD","彰化縣溪州鄉舊眉村中山路四段二七０號","04-889-9666","04-889-9766","","","","","4071","19730131","20010917","19991016","","","21","張金鈺","張金鈺","詹烈麟","財務副總經理","1","http://www.ycinox.com.tw","yf@ycinox.com","永豐金證券(股)公司股務代理部","02-2381-6288","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","不銹鋼捲(板)裁切及買賣、不銹鋼焊接鋼管之製造加工及買賣、不銹鋼角鋼，扁鐵及槽鐵等之製造加工及買賣","TW0002034006","59068700","4071307.43","4071307.43","","407130.743","","10","NTD","","勤業眾信聯合會計師事務所","18.39","81.61","903"
"2035","唐榮","2020","唐榮公司","TE","唐榮鐵工廠股份有限公司","Tang Eng Iron Works Co. Ltd.","高雄市小港區沿海二路四號","07-8022811","07-8010801","","","","","3500","19550426","","20060707","","19840206","14","吳豐盛","蔡明洲","鄭明正","技術副總經理","2","http://www.tangeng.com.tw","nty@mail.tangeng.com.tw","群益金鼎證券股份有限公司","02-2702-3999","10","鋼鐵工業","Iron and Steel","TWC15","OTC鋼鐵類","C20010","傳產-鋼鐵","不銹鋼產品100%(不銹鋼品)","TW0002035003","75460005","3500000","3500000","","350000","","10","NTD","","安侯建業會計師事務所","99.93","0.07","706"
"2038","海光","2020","海光","HAIKWANG","海光企業股份有限公司","HAI KWANG ENTERPRISE CORPORATION","高雄市小港區沿海二路12號","(07)8021011","(07)8022030","","","","","1813","19690321","20081230","","20070927","19891223","11","黃韋翰","黃燦明","楊建璋","財務部協理","1","http://www.haikwang.com.tw","hk@haikwang.com.tw","兆豐證券股份有限公司","02-33930898","10","鋼鐵工業","Iron and Steel","TWB20","鋼鐵類","C20010","傳產-鋼鐵","竹節鋼筋99.04%、線材0.03%(鋼筋製造買賣、鋼胚製造買賣)","TW0002038007","75470524","1812645.22","1812645.22","","181264.522","","10","NTD","","勤業眾信聯合會計師事務所","100","0","294"
"2049","上銀","2020","上銀","HIWIN","上銀科技股份有限公司","HIWIN TECHNOLOGIES CORP.","台中市南屯區文山里精科路7號","04-23594510","04-23594420","","","","","3189","19891011","20090626","","20070620","19970416","11","卓文恒","蔡惠卿","廖克皇","助理總經理","1","http://www.hiwin.tw","ir@hiwin.tw","元大證券股份有限公司","02-25865859","5","電機機械","Electric Machinery","TWB15","電機類","C15010","傳產-電機","CB01010機械設備製造業、CB01990其他機械製造業(許可及限制業務除外)、CC01010發電、輸電、配電機械製造業、","TW0002049004","23503047","3188662.52","3188662.52","","318866.252","","10","NTD","","勤業眾信聯合會計師事務所","7.73","92.27","6104"
